Client Name,URL,Expected Provider,Detected Provider,Config,Status,Details,Site Map,Offer,Active
865 Autos LLC,https://www.865autos.com/,Quick HTTP,,BUNDLE,PASS,Found via HTTP: idrove.it/behaviour.bundle.js,Yes,$500 Trade Assist,Yes
Lilliston Ford,https://www.lillistonford.com/,Dealer.com,,STD,PASS,Perfect (Dealer.com Rule of 1),Yes,$500 Your Way,Yes
Patriot Chevrolet GMC,https://www.patriotchevroletgmc.com/,DealerOn,,STD,PASS,Perfect (DealerOn Rule of 1),Yes,$500 Off Any,Yes
Honda of Bridgewater,https://www.hondabridgewater.com/,Dealer.com,,DCOM,PASS,Perfect (Rule of 1),Yes,$500 Off Any,Yes
Covert Country Hutto,https://www.covertchevyhutto.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes,$500 Off Any New,Yes
Paul Miller Ford,https://www.paulmillerford.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes,$500 Your Way,Yes
Team Chevrolet of Goldsboro,https://www.teamgoldsboro.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),Yes,$1000 Off Any New OR $1000 Trade Assist,Yes
Fort Mill Hyundai,https://www.fortmillhyundai.com/,Dealer eProcess,,STD,PASS,Perfect (Rule of 2),Yes,$500 Off Any New,Yes
Audi Northlake,https://www.audinorthlake.com/,Security Block,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),,$1000 Off Any New,Yes
BMW Charlotte,https://www.hendrickbmwcharlotte.com/,Security Block,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),,$500 Incentive,Yes
BMW Northlake,https://www.hendrickbmwnorthlake.com/,Security Block,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),,$500 Incentive,Yes
BMW of Kansas City South,https://www.bmwofkansascitysouth.com/,Security Block,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),,$500 Incentive,Yes
BMW South Austin,https://www.bmwofsouthaustin.com/,Security Block,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),,$500 Incentive,Yes
Darrell Waltrip Buick GMC,https://www.darrellwaltripbuickgmc.com/,Security Block,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),,$500 Off Select,Yes
Darrell Waltrip Honda,https://www.darrellwaltriphonda.com/,Security Block,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),,$500 Off New/$500 Off Used,Yes
Darrell Waltrip Subaru,https://www.darrellwaltripsubaru.com/,Security Block,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),,$500 Off Select,Yes
East Bay BMW,https://www.eastbaybmw.com/,Security Block,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),,$500 Incentive,Yes
Hendrick Acura of Pleasanton,https://www.acuraofpleasanton.com/,Security Block,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),,Maintenance Package,Yes
Hendrick Acura Southpoint,https://www.acurasouthpoint.com/,Security Block,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),,Maintenance Package,Yes
Hendrick Chevrolet Cary,https://www.hendrickchevrolet.com/,Security Block,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),,$500 Off Any,Yes
Hendrick Honda Bradenton,https://www.hendrickhondabradenton.com/,Security Block,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),,$500 Off New/$500 Off Used,Yes
