Client Name,URL,Provider,Config,Status,Details,Active
865 Autos LLC,www.865autos.com,Other,BUNDLE,PASS,Perfect (Rule of 2),Yes
Allen Chevrolet,www.allenchevy.com,DealerOn,STD,PASS,Perfect (DealerOn Rule of 1),Yes
Auto Gallery Ford,www.autogalleryford.com,Dealer Inspire,STD,PASS,Perfect (Rule of 2),Yes
Barbour Hendrick Honda,www.barbourhendrickhonda.com,Security Block,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img),Yes
Bay Ridge Subaru,www.brooklynsubarudeals.com,Dealer.com,DCOM,PASS,Perfect (Rule of 1),Yes
Beach Chevrolet,www.thebeachchevrolet.com,SOKAL,STD,PASS,Perfect (Rule of 2),Yes
Chrysler Dodge Jeep Ram of Elizabethton,www.nagcdjr.com,Dealer.com,STD,WARN,Found 2 (Dealer.com expects 1) (Saved Img),Yes
East Charlotte Nissan,www.eastcharlottenissan.com,Team Velocity,NONE,FAIL,No scripts found (Saved Img),Yes
Ford of Elizabethton,www.fordofelizabethton.com,Dealer.com,STD,WARN,Found 4 (Dealer.com expects 1) (Saved Img),Yes
Hendrick Acura Charlotte,www.hendrickacura.com,Security Block,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img),Yes
Hendrick Acura of Pleasanton,www.acuraofpleasanton.com,Security Block,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img),Yes
Hendrick Acura Southpoint,www.acurasouthpoint.com,Security Block,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img),Yes
Hendrick Buick GMC Cary,www.hendrickbuickgmccary.com,Security Block,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img),Yes
Hendrick CDJR of Concord,www.hendrickchryslerdodgejeepramofconcord.com,Security Block,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img),Yes
Hendrick Chevrolet Cary,www.hendrickchevrolet.com,Security Block,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img),Yes
