Client Name,URL,Expected Provider,Detected Provider,Config,Status,Details,Active
865 Autos LLC,https://www.865autos.com/,,,BUNDLE,PASS,Found via HTTP: idrove.it/behaviour.bundle.js,Yes
Allen Chevrolet,https://www.allenchevy.com/,,,STD,PASS,Perfect (DealerOn Rule of 1),Yes
Audi Northlake,https://www.audinorthlake.com/,,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),Yes
Audi South Austin,https://www.audisouthaustin.com/,,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (2/3),Yes
Auto Gallery Ford,https://www.autogalleryford.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Barbour Hendrick Honda,https://www.barbourhendrickhonda.com/,,,,UNVERIFIABLE,Site blocks automation. Manual check required.,Yes
Bay Ridge Subaru,https://www.brooklynsubarudeals.com/,,,DCOM,PASS,Perfect (Rule of 1),Yes
Beach Chevrolet,https://www.thebeachchevrolet.com/,,,STD,PASS,Perfect (Rule of 2),Yes
BMW Charlotte,https://www.hendrickbmwcharlotte.com/,,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),Yes
BMW Northlake,https://www.hendrickbmwnorthlake.com/,,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),Yes
BMW of Kansas City South,https://www.bmwofkansascitysouth.com/,,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),Yes
BMW of McKinney,https://www.bmwofmckinney.com/,,,STD,PASS,Perfect (Rule of 2),Yes
BMW South Austin,https://www.bmwofsouthaustin.com/,,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),Yes
Chrysler Dodge Jeep Ram of Elizabethton,https://www.nagcdjr.com/,,,STD,PASS,Found via HTTP: idrove.it/behaviour.js,Yes
Circle Jeep,https://www.circlejeep.com/,,,DCOM,PASS,Perfect (Rule of 1),Yes
Circle Subaru,https://www.circlesubaru.com/,,,DCOM,PASS,Perfect (Rule of 1),Yes
Covert Country Hutto,https://www.covertchevyhutto.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Covert Ford of Hutto,https://www.covertfordhutto.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Crews Chevrolet,https://www.crewschevrolet.com/,,,DCOM,PASS,Perfect (Rule of 1),Yes
Cronic Nissan,https://www.cronicnissan.net/,,,DCOM,PASS,Perfect (Rule of 1),Yes
Dale Earnhardt Jr. Buick GMC,https://www.daleearnhardtjrbuickgmc.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Dale Earnhardt Jr. Cadillac,https://www.daleearnhardtjrcadillac.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Dale Earnhardt Jr. Chevrolet,https://www.daleearnhardtjrchevy.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Darrell Waltrip Buick GMC,https://www.darrellwaltripbuickgmc.com/,,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),Yes
Darrell Waltrip Honda,https://www.darrellwaltriphonda.com/,,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),Yes
Darrell Waltrip Subaru,https://www.darrellwaltripsubaru.com/,,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),Yes
Dave Smith CDA,https://www.davesmithcda.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Daytona Infiniti,https://www.daytonainfiniti.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Daytona Mazda,https://www.daytonamazda.com/,,,DCOM,PASS,Perfect (Rule of 1),Yes
Daytona Nissan,https://www.daytonanissan.com/,,,STD,PASS,Perfect (Rule of 2),Yes
East Bay BMW,https://www.eastbaybmw.com/,,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),Yes
East Charlotte Nissan,https://www.eastcharlottenissan.com/,,,NONE,FAIL,No scripts found (Saved Img),No
Family Nissan,https://www.nissanfamily.com/,,,BUNDLE,PASS,Found via HTTP: idrove.it/behaviour.bundle.js,Yes
Ford of Cookeville,https://www.fordlincolnofcookeville.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Ford of Elizabethton,https://www.fordofelizabethton.com/,,,STD,PASS,Found via HTTP: idrove.it/behaviour.js,Yes
Fort Mill Hyundai,https://www.fortmillhyundai.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Freehold Ford,https://www.freeholdford.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Gary Yeoman's Ford Daytona Beach,https://www.garyyeomansford.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Gary Yeoman's Palm Bay Ford,https://www.palmbayford.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Gary Yeomans Ford Frankfort,https://www.frankfortford.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Gary Yeomans Ford Knoxville,https://www.garyyeomansfordknoxville.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Gary Yeomans Ford Ocala,https://www.garyyeomansfordocala.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Gary Yeomans Ford Villages,https://www.garyyeomansfordvillages.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Gary Yeomans Honda,https://www.garyyeomanshonda.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Gary Yeomans Lincoln Daytona Beach,https://www.garyyeomanslincoln.com/,,,STD,PASS,Perfect (Dealer.com Rule of 1),Yes
Gary Yeomans Lincoln Ocala,https://www.garyyeomanslincolnocala.com/,,,STD,PASS,Perfect (Dealer.com Rule of 1),Yes
Gary Yeomans PreOwned Supercenter,https://www.garyyeomansusedcars.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Gastonia Chevrolet Buick GMC Cadillac,https://www.gastoniachevroletbuickgmc.com/,,,DCOM,PASS,Perfect (Rule of 1),Yes
Gastonia Chrysler Dodge Jeep Ram,https://www.gastoniadodge.com/,,,STD,PASS,Perfect (Rule of 2),Yes
George's Used Cars,https://www.georgesapproval.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Glanzmann Subaru,https://www.glanzmann.com/,,,DCOM,PASS,Perfect (Rule of 1),Yes
Granbury Nissan,https://www.granburynissan.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Greenwood Ford,https://www.greenwoodford.com/,,,STD,PASS,Perfect (Dealer.com Rule of 1),Yes
Greenwood Lincoln,https://www.greenwoodlincoln.com/,,,STD,PASS,Perfect (Dealer.com Rule of 1),Yes
Gwinnett Place Honda,https://www.gphonda.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Hendrick Acura Charlotte,https://www.hendrickacura.com/,,,,UNVERIFIABLE,Site blocks automation. Manual check required.,Yes
Hendrick Acura of Pleasanton,https://www.acuraofpleasanton.com/,,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),Yes
Hendrick Acura Southpoint,https://www.acurasouthpoint.com/,,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),Yes
Hendrick Buick GMC Cary,https://www.hendrickbuickgmccary.com/,,,,UNVERIFIABLE,Blocked 3x. Manual verification required.,Yes
Hendrick Cadillac Monroe,https://www.hendrickcadillacmonroe.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Hendrick CDJR of Concord,https://www.hendrickchryslerdodgejeepramofconcord.com/,,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (2/3),Yes
Hendrick Chevrolet Buick GMC Southpoint,https://www.hendrickgmsouthpoint.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Hendrick Chevrolet Cary,https://www.hendrickchevrolet.com/,,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),Yes
Hendrick Chevrolet Columbia,https://www.hendrickchevroletcolumbia.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Hendrick Chevrolet Hoover,https://www.hendrickchevroletbirmingham.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Hendrick Chevrolet Monroe,https://www.hendrickchevroletmonroe.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Hendrick Chevrolet Shawnee Mission,https://www.chevyusa.com/,,,STD,PASS,Perfect (Rule of 2),Yes
