Client Name,URL,Expected Provider,Detected Provider,Config,Status,Details,Active
Hendrick Buick GMC Cary,https://www.hendrickbuickgmccary.com/,Persistent Block,,,UNVERIFIABLE,Blocked 3x. Manual verification required.,Yes
Audi Northlake,https://www.audinorthlake.com/,Security Block,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),Yes
BMW Charlotte,https://www.hendrickbmwcharlotte.com/,Security Block,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),Yes
BMW Northlake,https://www.hendrickbmwnorthlake.com/,Security Block,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),Yes
BMW of Kansas City South,https://www.bmwofkansascitysouth.com/,Security Block,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),Yes
BMW South Austin,https://www.bmwofsouthaustin.com/,Security Block,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),Yes
Darrell Waltrip Buick GMC,https://www.darrellwaltripbuickgmc.com/,Security Block,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),Yes
Darrell Waltrip Honda,https://www.darrellwaltriphonda.com/,Security Block,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),Yes
Darrell Waltrip Subaru,https://www.darrellwaltripsubaru.com/,Security Block,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),Yes
East Bay BMW,https://www.eastbaybmw.com/,Security Block,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),Yes
Hendrick Acura of Pleasanton,https://www.acuraofpleasanton.com/,Security Block,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),Yes
Hendrick Acura Southpoint,https://www.acurasouthpoint.com/,Security Block,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),Yes
Hendrick Chevrolet Cary,https://www.hendrickchevrolet.com/,Security Block,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),Yes
Hendrick Honda Bradenton,https://www.hendrickhondabradenton.com/,Security Block,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),Yes
Hendrick Honda Hickory,https://www.hendrickhondahickory.com/,Security Block,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),Yes
Hendrick Honda of Concord,https://www.hondaofconcord.com/,Security Block,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),Yes
Hendrick Kia of Concord,https://www.hendrickkiaofconcord.com/,Security Block,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),Yes
Hendrick MINI Charlotte,https://www.hendrickmini.com/,Security Block,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),Yes
Hendrick Subaru Hoover,https://www.hendricksubaruhoover.com/,Security Block,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),Yes
Hendrick Subaru Southpoint,https://www.subarusouthpoint.com/,Security Block,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),Yes
Hendrick Volkswagen of Concord,https://www.hendrickvwofconcord.com/,Security Block,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),Yes
Hendrick Volvo Cars of Charleston,https://www.hendrickvolvocars.com/,Security Block,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),Yes
Honda Cars of McKinney,https://www.hondacarsofmckinney.com/,Security Block,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),Yes
Honda Cars of Rock Hill,https://www.hondacarsrockhill.com/,Security Block,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),Yes
Rick Hendrick Chrysler Dodge Jeep Ram Fiat Wilmington,https://www.hendrickjeepwilmington.com/,Security Block,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),Yes
Audi South Austin,https://www.audisouthaustin.com/,Security Block,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (2/3),Yes
Hendrick CDJR of Concord,https://www.hendrickchryslerdodgejeepramofconcord.com/,Security Block,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (2/3),Yes
Honda Indian Trail,https://www.hondaofindiantrail.com/,Security Block,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (2/3),Yes
Jeff Gordon Chevrolet,https://www.jeffgordonchevy.com/,Security Block,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (2/3),Yes
Rusty Wallace Kia Alcoa,https://www.rustywallacekiaalcoa.com/,DealerOn,,STD,WARN,Found 2 (DealerOn expects 1) (Saved Img),Yes
Nissan of Garden City,https://www.nissanofgardencity.com/,SOKAL,,STD,WARN,Found 4 (Expected 2) (Saved Img),Yes
Joe Cooper Lincoln of Edmond,https://joecooperlincoln.com/,Dealer.com,,SPA,WARN,Found 6 (Expected 4) (Saved Img),Yes
865 Autos LLC,https://www.865autos.com/,Quick HTTP,,BUNDLE,PASS,Found via HTTP: idrove.it/behaviour.bundle.js,Yes
Family Nissan,https://www.nissanfamily.com/,Quick HTTP,,BUNDLE,PASS,Found via HTTP: idrove.it/behaviour.bundle.js,Yes
Kimberly Eakin Kia,https://www.kimberlyeakinkia.com/,Quick HTTP,,BUNDLE,PASS,Found via HTTP: idrove.it/behaviour.bundle.js,Yes
