Client Name,URL,Expected Provider,Detected Provider,Config,Status,Details,Site Map,Offer,Active
865 Autos LLC,https://www.865autos.com/,Quick HTTP,Quick HTTP,BUNDLE,PASS,Found via HTTP: idrove.it/behaviour.bundle.js,Yes,$500 Trade Assist,Yes
Allen Chevrolet,https://www.allenchevy.com/,DealerOn,DealerOn,STD,PASS,Perfect (DealerOn Rule of 1),,$500 Your Way,Yes
Audi Northlake,https://www.audinorthlake.com/,Security Block,Security Block,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),,$1000 Off Any New,Yes
Audi South Austin,https://www.audisouthaustin.com/,Security Block,Security Block,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (2/3),,$1000 Off New/$500 Off Used,Yes
Auto Gallery Ford,https://www.autogalleryford.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$500 Off Any,Yes
Barbour Hendrick Honda,https://www.barbourhendrickhonda.com/,Manual Required,Manual Required,N/A,UNVERIFIABLE,Site blocks automation. Manual check required.,,$500 Off New/$500 Off Used,Yes
Bay Ridge Subaru,https://www.brooklynsubarudeals.com/,Dealer.com,Dealer.com,DCOM,PASS,Perfect (Rule of 1),,$500 Your Way,Yes
Beach Chevrolet,https://www.thebeachchevrolet.com/,SOKAL,Sokal,STD,PASS,Perfect (Rule of 2),,$1000 Trade Assist,Yes
BMW Charlotte,https://www.hendrickbmwcharlotte.com/,Security Block,Security Block,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),,$500 Incentive,Yes
BMW Northlake,https://www.hendrickbmwnorthlake.com/,Security Block,Security Block,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),,$500 Incentive,Yes
BMW of Kansas City South,https://www.bmwofkansascitysouth.com/,Security Block,Security Block,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),,$500 Incentive,Yes
BMW of McKinney,https://www.bmwofmckinney.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$500 Incentive,Yes
BMW South Austin,https://www.bmwofsouthaustin.com/,Security Block,Security Block,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),,$500 Incentive,Yes
BMW Southpoint,https://www.bmwsouthpoint.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),Yes,$500 Incentive,Yes
Chrysler Dodge Jeep Ram of Elizabethton,https://www.nagcdjr.com/,Quick HTTP,Quick HTTP,STD,PASS,Found via HTTP: idrove.it/behaviour.js,,$500 Off Any Used,Yes
Circle Jeep,https://www.circlejeep.com/,Dealer.com,Dealer.com,DCOM,PASS,Perfect (Rule of 1),,$500 Your Way,Yes
Circle Subaru,https://www.circlesubaru.com/,Dealer.com,Dealer.com,DCOM,PASS,Perfect (Rule of 1),,$500 Trade Assist,Yes
Covert Country Hutto,https://www.covertchevyhutto.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),Yes,$500 Off Any New,Yes
Covert Ford of Hutto,https://www.covertfordhutto.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$500 Off Any New,Yes
Crews Chevrolet,https://www.crewschevrolet.com/,Dealer.com,Dealer.com,DCOM,PASS,Perfect (Rule of 1),,$500 Off Any,Yes
Cronic Nissan,https://www.cronicnissan.net/,Dealer.com,Dealer.com,DCOM,PASS,Perfect (Rule of 1),,$500 Off Any,Yes
Dale Earnhardt Jr. Buick GMC,https://www.daleearnhardtjrbuickgmc.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$500 Off Any,Yes
Dale Earnhardt Jr. Cadillac,https://www.daleearnhardtjrcadillac.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$500 Off New/$500 Off Used,Yes
Dale Earnhardt Jr. Chevrolet,https://www.daleearnhardtjrchevy.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$500 Off Any,Yes
Darrell Waltrip Buick GMC,https://www.darrellwaltripbuickgmc.com/,Security Block,Security Block,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),,$500 Off Select,Yes
Darrell Waltrip Honda,https://www.darrellwaltriphonda.com/,Security Block,Security Block,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),,$500 Off New/$500 Off Used,Yes
Darrell Waltrip Subaru,https://www.darrellwaltripsubaru.com/,Security Block,Security Block,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),,$500 Off Select,Yes
Dave Smith CDA,https://www.davesmithcda.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$500 Off Any,Yes
Daytona Infiniti,https://www.daytonainfiniti.com/,Dealer eProcess,Dealer eProcess,STD,PASS,Perfect (Rule of 2),,$1250 Trade Assist,Yes
Daytona Mazda,https://www.daytonamazda.com/,Dealer.com,Dealer.com,DCOM,PASS,Perfect (Rule of 1),,$500 Off Any,Yes
Daytona Nissan,https://www.daytonanissan.com/,Dealer eProcess,Dealer eProcess,STD,PASS,Perfect (Rule of 2),,$1250 Trade Assist,Yes
East Bay BMW,https://www.eastbaybmw.com/,Security Block,Security Block,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),,$500 Incentive,Yes
East Charlotte Nissan,https://www.eastcharlottenissan.com/,Team Velocity,Unreachable,ERR,FAIL,"Site unreachable: Message: timeout: Timed out receiving message from renderer: 29.827
  (Session info: chrome=144.0.75",,,Yes
Family Nissan,https://www.nissanfamily.com/,Quick HTTP,Quick HTTP,BUNDLE,PASS,Found via HTTP: idrove.it/behaviour.bundle.js,,$750 Off Any New,Yes
Ford of Cookeville,https://www.fordlincolnofcookeville.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$500 Trade Assist,Yes
Ford of Elizabethton,https://www.fordofelizabethton.com/,Quick HTTP,Quick HTTP,STD,PASS,Found via HTTP: idrove.it/behaviour.js,,$500 Off Any,Yes
Fort Mill Hyundai,https://www.fortmillhyundai.com/,Dealer eProcess,Dealer eProcess,STD,PASS,Perfect (Rule of 2),Yes,$500 Off Any New,Yes
Freehold Ford,https://www.freeholdford.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$500 Your Way,Yes
Gary Yeoman's Ford Daytona Beach,https://www.garyyeomansford.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$750 Trade Assist,Yes
Gary Yeoman's Palm Bay Ford,https://www.palmbayford.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$750 Trade Assist,Yes
Gary Yeomans Ford Frankfort,https://www.frankfortford.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$500 Off Any,Yes
Gary Yeomans Ford Knoxville,https://www.garyyeomansfordknoxville.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$500 Off Any,Yes
Gary Yeomans Ford Ocala,https://www.garyyeomansfordocala.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$500 Off Any,Yes
Gary Yeomans Ford Villages,https://www.garyyeomansfordvillages.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$500 Off Any,Yes
Gary Yeomans Honda,https://www.garyyeomanshonda.com/,Dealer eProcess,Dealer eProcess,STD,PASS,Perfect (Rule of 2),,$1250 Trade Assist,Yes
Gary Yeomans Lincoln Daytona Beach,https://www.garyyeomanslincoln.com/,Dealer.com,Dealer.com,STD,PASS,Perfect (Dealer.com Rule of 1),,$750 Trade Assist,Yes
Gary Yeomans Lincoln Ocala,https://www.garyyeomanslincolnocala.com/,Dealer.com,Dealer.com,STD,PASS,Perfect (Dealer.com Rule of 1),,$500 Off Any,Yes
Gary Yeomans PreOwned Supercenter,https://www.garyyeomansusedcars.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$500 Off Any,Yes
Gastonia Chevrolet Buick GMC Cadillac,https://www.gastoniachevroletbuickgmc.com/,Dealer.com,Dealer.com,DCOM,PASS,Perfect (Rule of 1),,$500 Off Any New,Yes
Gastonia Chrysler Dodge Jeep Ram,https://www.gastoniadodge.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$500 Off Any,Yes
George's Used Cars,https://www.georgesapproval.com/,Other,Other,STD,PASS,Perfect (Rule of 2),,$500 Off Any,Yes
Glanzmann Subaru,https://www.glanzmann.com/,Dealer.com,Dealer.com,DCOM,PASS,Perfect (Rule of 1),,$250 Trade Assist,Yes
Granbury Nissan,https://www.granburynissan.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$500 Off Any New,Yes
Greenwood Ford,https://www.greenwoodford.com/,Dealer.com,Dealer.com,STD,PASS,Perfect (Dealer.com Rule of 1),,$500 Your Way,Yes
Greenwood Lincoln,https://www.greenwoodlincoln.com/,Dealer.com,Dealer.com,STD,PASS,Perfect (Dealer.com Rule of 1),,$500 Your Way,Yes
Gwinnett Place Honda,https://www.gphonda.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$1000 Off New/$500 Off Used,Yes
Hendrick Acura Charlotte,https://www.hendrickacura.com/,Manual Required,Manual Required,N/A,UNVERIFIABLE,Site blocks automation. Manual check required.,,$500 Off Service Contract,Yes
Hendrick Acura of Pleasanton,https://www.acuraofpleasanton.com/,Security Block,Security Block,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),,Maintenance Package,Yes
Hendrick Acura Southpoint,https://www.acurasouthpoint.com/,Security Block,Security Block,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),,Maintenance Package,Yes
Hendrick Buick GMC Cary,https://www.hendrickbuickgmccary.com/,Persistent Block,Manual Required,N/A,UNVERIFIABLE,Site blocks automation. Manual check required.,,$500 Off Any,Yes
Hendrick Cadillac Monroe,https://www.hendrickcadillacmonroe.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$750 Off Any,Yes
Hendrick CDJR of Concord,https://www.hendrickchryslerdodgejeepramofconcord.com/,Security Block,Security Block,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),,$500 Off Any,Yes
Hendrick Chevrolet Buick GMC Southpoint,https://www.hendrickgmsouthpoint.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$500 Off Any,Yes
Hendrick Chevrolet Cary,https://www.hendrickchevrolet.com/,Security Block,Security Block,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),,$500 Off Any,Yes
Hendrick Chevrolet Columbia,https://www.hendrickchevroletcolumbia.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$500 Off Any,Yes
Hendrick Chevrolet Hoover,https://www.hendrickchevroletbirmingham.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$1000 Off New/$1000 Off Used,Yes
Hendrick Chevrolet Monroe,https://www.hendrickchevroletmonroe.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$750 Off Any,Yes
Hendrick Chevrolet Shawnee Mission,https://www.chevyusa.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$1000 Off Any Used,Yes
Hendrick Chrysler Dodge Jeep Ram Hoover,https://www.hendrickchryslerdodgejeepram.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$1000 Off Any Used,Yes
Hendrick Chrysler Jeep Fiat Fayetteville,https://www.hendrickchryslerjeep.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$500 Off Any,Yes
Hendrick Dodge RAM Cary,https://www.hendrickdodge.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$1000 Off Any,Yes
Hendrick GMC Columbia,https://www.hendrickgmccolumbia.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$500 Off Any,Yes
Hendrick Honda Bradenton,https://www.hendrickhondabradenton.com/,Security Block,Security Block,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),,$500 Off New/$500 Off Used,Yes
Hendrick Honda Easley,https://www.hendrickhondasc.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$500 Off New/$500 Off Used,Yes
Hendrick Honda Hickory,https://www.hendrickhondahickory.com/,Security Block,Security Block,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),,$500 Off New/$500 Off Used,Yes
Hendrick Honda of Charleston,https://www.charlestonhonda.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$500 Off New/$500 Off Used,Yes
Hendrick Honda of Concord,https://www.hondaofconcord.com/,Security Block,Security Block,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),,$500 Off New/$500 Off Used,Yes
Hendrick Honda South Blvd,https://www.hendrickhonda.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$1000 Off New/$500 Off Used,Yes
Hendrick KIA of Cary,https://www.hendrickkia.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$500 Off Any,Yes
Hendrick Kia of Concord,https://www.hendrickkiaofconcord.com/,Security Block,Security Block,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),,$500 Off Any,Yes
Hendrick MINI Charlotte,https://www.hendrickmini.com/,Security Block,Security Block,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),,$500 Incentive,Yes
Hendrick Subaru Hoover,https://www.hendricksubaruhoover.com/,Security Block,Security Block,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),,$500 Off New/$500 Off Used,Yes
Hendrick Subaru Southpoint,https://www.subarusouthpoint.com/,Security Block,Security Block,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),,$500 Off Any,Yes
Hendrick Toyota Apex,https://www.hendricktoyotaapex.com/,SOKAL,Sokal,STD,PASS,Perfect (Rule of 2),,$500 Off Any,Yes
Hendrick Toyota Concord,https://www.hendricktoyotaconcord.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$500 Off Any,Yes
Hendrick Toyota Merriam,https://www.hendricktoyotamerriam.com/,SOKAL,Sokal,STD,PASS,Perfect (Rule of 2),,$500 Off Any,Yes
Hendrick Toyota North Charleston,https://www.hendricktoyotanorthcharleston.com/,SOKAL,Sokal,STD,PASS,Perfect (Rule of 2),,$500 Off Any,Yes
Hendrick Volkswagen Frisco,https://www.hendrickvwfrisco.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$500 Off Any New,Yes
Hendrick Volkswagen of Concord,https://www.hendrickvwofconcord.com/,Security Block,Security Block,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),,$1000 Off Select New,Yes
Hendrick Volvo Cars of Charleston,https://www.hendrickvolvocars.com/,Security Block,Security Block,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),,$500 Off Select New/$500 Off Select Used,Yes
Honda Cars of Aiken,https://www.hondacarsofaiken.com/,Quick HTTP,Quick HTTP,STD,PASS,Found via HTTP: idrove.it/behaviour.js,,$100 Off Any Vehicle,Yes
Honda Cars of McKinney,https://www.hondacarsofmckinney.com/,Security Block,Security Block,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),,$1000 Off New/$500 Off Used,Yes
Honda Cars of Rock Hill,https://www.hondacarsrockhill.com/,Security Block,Security Block,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),,$500 Off Any New,Yes
Honda Indian Trail,https://www.hondaofindiantrail.com/,Security Block,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (2/3),,,No
Honda of Bridgewater,https://www.hondabridgewater.com/,Dealer.com,Dealer.com,DCOM,PASS,Perfect (Rule of 1),Yes,$500 Off Any,Yes
Honda of Huntersville,https://www.hondahuntersville.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$500 Off List or $500 Trade Assist,Yes
Honda of Newnan,https://www.hondaofnewnan.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$500 Off New/$500 Off Used,Yes
Hoover Chrysler Dodge Jeep Ram Summerville,https://www.hooverjeepchrysler.net/,Dealer.com,Dealer.com,DCOM,PASS,Perfect (Rule of 1),,$500 Off Any,Yes
Hyundai of Asheville,https://www.hyundaiofasheville.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$500 Off Any,Yes
Independence Mazda,https://www.independencemazda.com/,SOKAL,Sokal,STD,PASS,Perfect (Rule of 2),,$1000 Off Any PLUS $2000 Trade Assist,Yes
Jackie Cooper Infiniti,https://jackiecooperinfiniti.com/,Dealer.com,Dealer.com,SPA,PASS,Perfect (Rule of 4),,$500 Off Any,Yes
Jackie Cooper Mercedes,https://jackiecoopermercedes.com/,Dealer.com,Dealer.com,SPA,PASS,Perfect (Rule of 4),,$500 Off Any,Yes
Jackie Cooper Nissan,https://jackiecoopernissan.com/,Dealer.com,Dealer.com,SPA,PASS,Perfect (Rule of 4),,$1000 Trade Assist,Yes
Jacksonville Chrysler Dodge Jeep Ram,https://www.jaxcjdr.com/,Dealer.com,Dealer.com,STD,PASS,Perfect (Dealer.com Rule of 1),,$500 Off Any,Yes
Jeff Gordon Chevrolet,https://www.jeffgordonchevy.com/,Security Block,Security Block,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),,$500 Off Any,Yes
Joe Cooper Chevrolet,https://joecooperchevroletcadillacgmc.com/,Dealer.com,Dealer.com,SPA,PASS,Perfect (Rule of 4),,$500 Off Any,Yes
Joe Cooper Dodge Jeep Shawnee,https://joecooperdodgejeep.com/,Dealer.com,Dealer.com,SPA,PASS,Perfect (Rule of 4),,$1000 Off Any,Yes
Joe Cooper Dodge of Yukon,https://joecooperdodgeyukon.com/,Dealer.com,Dealer.com,SPA,PASS,Perfect (Rule of 4),,$500 Off Any,Yes
Joe Cooper Ford Edmond,https://joecooperfordedmond.com/,Dealer.com,Dealer.com,SPA,PASS,Perfect (Rule of 4),,$1000 Off Any,Yes
Joe Cooper Ford of Yukon,https://joecooperfordyukon.com/,Dealer.com,Dealer.com,SPA,PASS,Perfect (Rule of 4),,$500 Off Any,Yes
Joe Cooper Ford Shawnee,https://joecooperfordshawnee.com/,Dealer.com,Dealer.com,SPA,PASS,Perfect (Rule of 4),,$1000 Off Any,Yes
Joe Cooper Hyundai of Midwest City,https://joecooperhyundai.com/,Dealer.com,Dealer.com,SPA,PASS,Perfect (Rule of 4),,$500 Off Any,Yes
Joe Cooper Lincoln of Edmond,https://joecooperlincoln.com/,Dealer.com,Dealer.com,SPA,WARN,Found 6 (Expected 4) (Saved Img),,$500 Off Any,Yes
JT's Chrysler Dodge Jeep Ram of Lexington,https://www.jtschryslerdodgejeepram.com/,SOKAL,Sokal,STD,PASS,Perfect (Rule of 2),,$1000 Off Any New,Yes
JT's Dodgeland of Columbia,https://jtscdjrofcolumbia.com/,SOKAL,Sokal,STD,PASS,Perfect (Rule of 2),,$1000 Off Any New,Yes
JT's Kia of Columbia,https://www.jtskia.com/,SOKAL,Sokal,STD,PASS,Perfect (Rule of 2),,$500 Off Any,Yes
JT's Kia of Columbia - Greystone,https://www.kiacolumbia.com/,SOKAL,Sokal,STD,PASS,Perfect (Rule of 2),,$500 Off Any,Yes
JTs Kia of Rock Hill,https://www.jtskiarockhill.com/,SOKAL,Sokal,STD,PASS,Perfect (Rule of 2),,$1000 Off Any New,Yes
Keffer Mazda,https://www.keffermazda.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$1000 Off Any,Yes
Keith Hawthorne Hyundai of Gastonia,https://www.hyundaiofgastonia.com/,Dealer.com,Dealer.com,DCOM,PASS,Perfect (Rule of 1),,$500 Off Any,Yes
Kelly Honda,https://www.kelly-honda.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$250 Off Any New,Yes
Kelly Infiniti,https://www.kellyinfiniti.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$250 Off Any Used,Yes
Kelly Nissan of Lynnfield,https://www.kellynissanoflynnfield.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$250 Off Any New,Yes
Kelly Nissan of Woburn,https://www.kellynissanofwoburn.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$250 Off Any New,Yes
Kelly Volkswagen,https://www.kelly-vw.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$250 Off Any,Yes
Kimberly Eakin Kia,https://www.kimberlyeakinkia.com/,Quick HTTP,Quick HTTP,BUNDLE,PASS,Found via HTTP: idrove.it/behaviour.bundle.js,,$500 Off Any OR $1000 Trade Assist,Yes
Lake Norman Chrysler Dodge Jeep Ram,https://www.lakenormanchrysler.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$1000 Off New/$500 Off New,Yes
Lake Norman Hyundai,https://www.lakenormanhyundai.com/,Dealer eProcess,Dealer eProcess,STD,PASS,Perfect (Rule of 2),,$500 Your Way,Yes
Lilliston Chrysler Dodge Jeep Ram,https://www.lillistonchryslerdodgejeep.com/,Dealer.com,Dealer.com,STD,PASS,Perfect (Dealer.com Rule of 1),,$500 Your Way,Yes
Lilliston Ford,https://www.lillistonford.com/,Dealer.com,Dealer.com,STD,PASS,Perfect (Dealer.com Rule of 1),Yes,$500 Your Way,Yes
Lindsay Buick GMC,https://www.lindsaybuickgmctruck.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),Yes,$500 Off Any,Yes
Madison Honda,https://www.madisonhonda.com/,Dealer eProcess,Dealer eProcess,STD,PASS,Perfect (Rule of 2),,$500 Off Any,Yes
Mall of Georgia Mazda,https://www.mallofgamazda.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$1000 Off New/$500 Off New,Yes
Mall of Georgia MINI,https://www.mallofgamini.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$1000 Off New/$500 Off New,Yes
Mathews Honda of Paris,https://www.hondaofparis.net/,Dealer eProcess,Dealer eProcess,STD,PASS,Perfect (Rule of 2),,$500 Off Any,Yes
Mathews Nissan of Paris,https://www.parisnissan.com/,Dealer eProcess,Dealer eProcess,STD,PASS,Perfect (Rule of 2),,$500 Off Any,Yes
McSweeney Chevrolet GMC,https://www.mcsweeneychevygmc.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$1000 Off Any PLUS $1000 Trade Assist,Yes
McSweeney Chrysler Dodge Jeep Ram - Clanton,https://www.mcsweeneycdjr.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$1000 Off Any PLUS $1000 Trade Assist,Yes
McSweeney Chrysler Dodge Jeep Ram - Pell City,https://www.mcsweeneychryslerdodgejeepram.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$1000 Off Any PLUS $1000 Trade Assist,Yes
Mercedes-Benz of San Antonio,https://www.mbofsa.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$500 Trade Assist,Yes
Mike Reichenbach Ford Lincoln,https://www.mikereichenbachfordflorence.com/,Dealer.com,Dealer.com,STD,PASS,Perfect (Dealer.com Rule of 1),,$500 Off Any,Yes
Mike Terry Chevrolet GMC,https://www.mterryautogroup.com/,Dealer.com,Dealer.com,DCOM,PASS,Perfect (Rule of 1),,$750 Off Any,Yes
Mike Terry Chevrolet Refugio,https://www.miketerrychevrolet.com/,Dealer.com,Dealer.com,STD,PASS,Perfect (Dealer.com Rule of 1),,$500 Off Any,Yes
